日期,幣別,即期買入匯率,即期賣出匯率
20211214,CAD,21.63,21.83
20211214,SGD,20.23,20.41
20211214,CHF,29.98,30.23
20211214,JPY,0.2426,0.2466
20211214,ZAR,1.693,1.773
20211214,SEK,3.01,3.11
20211214,NZD,18.69,18.89
20211214,THB,0.8165,0.8565
20211214,EUR,31.15,31.55
20211214,CNY,4.34,4.39
20211213,USD,27.745,27.845
20211213,HKD,3.533,3.593
20211213,GBP,36.6,37
20211213,AUD,19.78,19.98
20211213,CAD,21.73,21.93
20211213,SGD,20.28,20.46
20211213,CHF,29.99,30.24
20211213,JPY,0.2428,0.2468
20211213,ZAR,1.701,1.781
20211213,SEK,3.02,3.12
20211213,NZD,18.76,18.96
20211213,THB,0.8169,0.8569
20211213,EUR,31.19,31.59
20211213,CNY,4.339,4.389
20211210,USD,27.68,27.78
20211210,HKD,3.525,3.585
20211210,GBP,36.46,36.86
20211210,AUD,19.72,19.92
20211210,CAD,21.71,21.91
20211210,SGD,20.21,20.39
20211210,CHF,29.86,30.11
20211210,JPY,0.2422,0.2462
20211210,ZAR,1.688,1.768
20211210,SEK,3.02,3.12
20211210,NZD,18.72,18.92
20211210,THB,0.808,0.848
20211210,EUR,31.12,31.52
20211210,CNY,4.326,4.376
20211209,USD,27.655,27.755
20211209,HKD,3.522,3.582
20211209,GBP,36.39,36.79
20211209,AUD,19.76,19.96
20211209,CAD,21.78,21.98
20211209,SGD,20.23,20.41
20211209,CHF,29.96,30.21
20211209,JPY,0.2422,0.2462
20211209,ZAR,1.723,1.803
20211209,SEK,3.02,3.12
20211209,NZD,18.78,18.98
20211209,THB,0.8127,0.8527
20211209,EUR,31.17,31.57
20211209,CNY,4.343,4.393
20211208,USD,27.69,27.79
20211208,HKD,3.527,3.587
20211208,GBP,36.56,36.96
20211208,AUD,19.67,19.87
20211208,CAD,21.84,22.04
20211208,SGD,20.24,20.42
20211208,CHF,29.89,30.14
20211208,JPY,0.2426,0.2466
20211208,ZAR,1.711,1.791
20211208,SEK,3.01,3.11
20211208,NZD,18.73,18.93
20211208,THB,0.8118,0.8518
20211208,EUR,31.12,31.52
20211208,CNY,4.339,4.389
20211207,USD,27.725,27.825
20211207,HKD,3.531,3.591
20211207,GBP,36.71,37.11
20211207,AUD,19.59,19.79
20211207,CAD,21.73,21.93
20211207,SGD,20.24,20.42
20211207,CHF,29.91,30.16
20211207,JPY,0.2425,0.2465
20211207,ZAR,1.708,1.788
20211207,SEK,3.02,3.12
20211207,NZD,18.7,18.9
20211207,THB,0.8096,0.8496
20211207,EUR,31.16,31.56
20211207,CNY,4.336,4.386
20211206,USD,27.69,27.79
20211206,HKD,3.526,3.586
20211206,GBP,36.52,36.92
20211206,AUD,19.35,19.55
20211206,CAD,21.54,21.74
20211206,SGD,20.16,20.34
20211206,CHF,29.96,30.21
20211206,JPY,0.2432,0.2472
20211206,ZAR,1.689,1.769
20211206,SEK,2.99,3.09
20211206,NZD,18.62,18.82
20211206,THB,0.8036,0.8436
20211206,EUR,31.08,31.48
20211206,CNY,4.327,4.377
20211203,USD,27.665,27.765
20211203,HKD,3.527,3.587
20211203,GBP,36.61,37.01
20211203,AUD,19.48,19.68
20211203,CAD,21.53,21.73
20211203,SGD,20.13,20.31
20211203,CHF,29.94,30.19
20211203,JPY,0.2424,0.2464
20211203,ZAR,1.695,1.775
20211203,SEK,3,3.1
20211203,NZD,18.71,18.91
20211203,THB,0.8046,0.8446
20211203,EUR,31.1,31.5
20211203,CNY,4.325,4.375
20211202,USD,27.695,27.795
20211202,HKD,3.531,3.591
20211202,GBP,36.67,37.07
20211202,AUD,19.61,19.81
20211202,CAD,21.6,21.8
20211202,SGD,20.21,20.39
20211202,CHF,29.97,30.22
20211202,JPY,0.243,0.247
20211202,ZAR,1.696,1.776
20211202,SEK,3.01,3.11
20211202,NZD,18.8,19
20211202,THB,0.8042,0.8442
20211202,EUR,31.19,31.59
20211202,CNY,4.325,4.375
20211201,USD,27.71,27.81
20211201,HKD,3.53,3.59
20211201,GBP,36.79,37.19
20211201,AUD,19.74,19.94
20211201,CAD,21.66,21.86
20211201,SGD,20.28,20.46
20211201,CHF,30.08,30.33
20211201,JPY,0.2429,0.2469
20211201,ZAR,1.71,1.79
20211201,SEK,3.04,3.14
20211201,NZD,18.92,19.12
20211201,THB,0.808,0.848
20211201,EUR,31.28,31.68
20211201,CNY,4.334,4.384
20211130,USD,27.75,27.85
20211130,HKD,3.533,3.593
20211130,GBP,36.88,37.28
20211130,AUD,19.69,19.89
20211130,CAD,21.64,21.84
20211130,SGD,20.23,20.41
20211130,CHF,30.06,30.31
20211130,JPY,0.2437,0.2477
20211130,ZAR,1.684,1.764
20211130,SEK,3.03,3.13
20211130,NZD,18.84,19.04
20211130,THB,0.8089,0.8489
20211130,EUR,31.3,31.7
20211130,CNY,4.335,4.385
20211129,USD,27.75,27.85
20211129,HKD,3.534,3.594
20211129,GBP,36.87,37.27
20211129,AUD,19.77,19.97
20211129,CAD,21.73,21.93
20211129,SGD,20.22,20.4
20211129,CHF,29.86,30.11
20211129,JPY,0.2428,0.2468
20211129,ZAR,1.682,1.762
20211129,SEK,3,3.1
20211129,NZD,18.9,19.1
20211129,THB,0.8084,0.8484
20211129,EUR,31.11,31.51
20211129,CNY,4.328,4.378
20211126,USD,27.78,27.88
20211126,HKD,3.539,3.599
20211126,GBP,36.82,37.22
20211126,AUD,19.72,19.92
20211126,CAD,21.74,21.94
20211126,SGD,20.22,20.4
20211126,CHF,29.81,30.06
20211126,JPY,0.2418,0.2458
20211126,ZAR,1.669,1.749
20211126,SEK,3,3.1
20211126,NZD,18.87,19.07
20211126,THB,0.8148,0.8548
20211126,EUR,31.08,31.48
20211126,CNY,4.326,4.376
20211125,USD,27.745,27.845
20211125,HKD,3.534,3.594
20211125,GBP,36.92,37.32
20211125,AUD,19.91,20.11
20211125,CAD,21.89,22.09
20211125,SGD,20.24,20.42
20211125,CHF,29.65,29.9
20211125,JPY,0.239,0.243
20211125,ZAR,1.715,1.795
20211125,SEK,3.01,3.11
20211125,NZD,19.01,19.21
20211125,THB,0.8184,0.8584
20211125,EUR,30.98,31.38
20211125,CNY,4.325,4.375
20211124,USD,27.74,27.84
20211124,HKD,3.535,3.595
20211124,GBP,36.97,37.37
20211124,AUD,19.94,20.14
20211124,CAD,21.81,22.01
20211124,SGD,20.26,20.44
20211124,CHF,29.63,29.88
20211124,JPY,0.2399,0.2439
20211124,ZAR,1.713,1.793
20211124,SEK,3.02,3.12
20211124,NZD,19.1,19.3
20211124,THB,0.8191,0.8591
20211124,EUR,31.04,31.44
20211124,CNY,4.323,4.373
20211123,USD,27.75,27.85
